token,average_attr
roeven,0.3129607439
bisch,0.3128452674
oh,0.311785484
democratische,0.3109095395
amus,0.3108979464
aagd,0.31077829
symbolisch,0.3100075424
muzikale,0.3098010421
tienermeisjes,0.3091523051
vette,0.3090290725
anaal,0.3089864254
pris,0.3089810908
hoogtepunt,0.3089054823
oplossen,0.3088867846
effectief,0.3068178296
roes,0.3066672385
fuck,0.3066224822
never,0.3066043258
franse,0.3060470819
kkers,0.3060013354
oooo,0.3059312634
trots,0.3056798805
sexy,0.3055332825
elletje,0.3031199997
bewijs,0.3029131591
vrijheid,0.3018494817
ijken,0.3015939435
opbouw,0.301356934
slim,0.3006380631
leuke,0.3000345303
geheel,0.2998430102
oveel,0.2994526197
heel,0.2992118677
ijnse,0.2985900044
.......,0.298584568
helpt,0.2978776737
akkeren,0.2964889682
people,0.2961809337
bedraagt,0.2961316407
vink,0.295619756
cent,0.2955950979
verrassing,0.2952828409
ioenen,0.2952485383
diezelfde,0.2937785387
hoest,0.293440753
echte,0.2931067888
ual,0.2930923514
ign,0.2929169625
terroristen,0.2924168892
vaardig,0.2922095358
ieuze,0.2908691764
gebleven,0.2902658582
flit,0.2901815772
jaard,0.2891595364
raat,0.2890928057
stemen,0.2888711393
vrijheden,0.2884097919
factor,0.2878637612
dokter,0.287301451
dagbesteding,0.286947906
aanbiedingen,0.286814265
user,0.2860722244
bijzonder,0.2859555708
spak,0.2854649723
vroeger,0.2848999524
outlet,0.2847645581
groter,0.2840951085
onwijs,0.2839161539
igheid,0.2833562669
nã³g,0.2829514146
hiervan,0.2822096944
russische,0.2820790038
uniform,0.2820714712
seks,0.2819723133
arissen,0.2813617587
fect,0.2812401056
onbet,0.2802016139
bui,0.2800609693
italiaans,0.2800389528
so,0.280036672
redding,0.2793448814
kut,0.2765683378
privacy,0.2760980089
dreef,0.2758204043
uun,0.2757776082
efficiã«ntie,0.2757450044
terugkerend,0.275685817
eertje,0.2756115702
oods,0.2750488371
ximus,0.2743872106
aats,0.2742547393
zonnige,0.2736775577
ativiteit,0.273570627
sie,0.2734653254
poet,0.2731621265
identiteit,0.2727884352
joh,0.2727040337
arend,0.2726812735
wantrouwen,0.2718177438
qua,0.2709659932
ips,0.2707071017
happy,0.2702199407
oscoop,0.2700335979
leuker,0.2698328098
continue,0.2696755528
medelijden,0.2693861336
plan,0.2682865348
keihard,0.2682399927
klap,0.2681752369
ally,0.2675428987
democratie,0.2674619057
dig,0.2674240007
grappig,0.2674002
complete,0.2672599871
acy,0.2669456005
fenomen,0.2666390538
uid,0.2663833688
bedrijf,0.2659804846
ovend,0.2658963203
beduidend,0.2655188143
begrotings,0.2652350068
definitie,0.2649780512
bevestigd,0.2647437453
aah,0.2646202184
nogal,0.2645147219
begin,0.2643568297
waarden,0.2632037699
tonen,0.2630184889
inderen,0.2626509219
trendy,0.2622750293
oorde,0.261855416
bet,0.2617558515
daarmee,0.2605814524
hee,0.2605073094
vriendelijk,0.2602562263
reden,0.2579412048
uitrusten,0.257178396
drecht,0.2566647828
visite,0.2565629408
verkie,0.2563995137
....,0.2556504274
opport,0.2555209696
enorme,0.255320586
gemeen,0.2551389247
lach,0.2549739929
macro,0.2548086941
lock,0.2547908723
duidelijker,0.2534766967
88,0.2533327043
insteek,0.2529335916
daar,0.2516709254
onk,0.2515246868
arc,0.2507997456
barsten,0.2507148683
luxe,0.2505258024
ress,0.2490735675
geregeld,0.2490408129
politie,0.2488025013
bewaking,0.2479574084
rutte,0.2476007106
winst,0.2476003923
ramp,0.2461817786
gelegen,0.2461782513
........,0.2455929033
akkie,0.2455509901
eland,0.2454393804
anceerde,0.2450885326
oit,0.2445851115
vooruitzicht,0.2444016896
inhouden,0.244341597
goede,0.2441346966
bedreiging,0.244055192
gaten,0.243920505
raad,0.2426246095
fantastisch,0.2415444253
verst,0.2414968892
altijd,0.2413547429
onrecht,0.241230011
bull,0.2412174065
trouwens,0.2398220056
iep,0.2396203605
reng,0.2393741608
goeie,0.2392379013
vanmorgen,0.2381400226
behaalde,0.2380947024
display,0.237646997
ineens,0.237580857
hoor,0.2375492418
jaloers,0.2375226244
eloze,0.2375054111
onveilig,0.2373501807
onafhankelijk,0.2360465676
exact,0.2355323806
erend,0.2349727046
tattoo,0.2341629565
igranten,0.2334471345
eef,0.2330927821
slachtoffer,0.2324297111
plaatse,0.2322315872
verhe,0.2321124524
aanbie,0.2319019437
natuurlijk,0.2315186305
zielig,0.2314289007
belang,0.2311204533
held,0.230767847
bio,0.230337536
belachelijk,0.229294572
zorgvuldig,0.2290950269
prestatie,0.228921771
waardig,0.2288814986
ã¼,0.2286841422
hoopt,0.2284492105
overduidelijk,0.228219673
overheid,0.2278980361
bereid,0.2274123039
wederom,0.2263930932
kies,0.2261393639
ijter,0.2259282796
armin,0.2258402447
prijsje,0.2252222002
aanv,0.225139752
service,0.2249647845
andaag,0.2246299413
log,0.2242736839
ny,0.2240938305
liefhebber,0.2239545469
elijke,0.2239478054
uitgel,0.223744601
erg,0.2236616773
oorlog,0.2235332761
uper,0.2234882265
kramp,0.2230344117
ederland,0.2225203807
zingt,0.2221231908
wezen,0.2216780329
brugge,0.2211437129
uri,0.2211101628
feestje,0.2204743966
moderne,0.2200968862
rijkste,0.2191477008
vakbonden,0.2191353465
standers,0.2184332907
continuã¯teit,0.2183842212
stoom,0.2181979269
dik,0.2181303689
ung,0.2181131551
redt,0.2179258019
etty,0.2177257687
oelen,0.217045933
verdediging,0.2166813281
soepel,0.2163215578
enz,0.2161546797
loze,0.2158774159
maal,0.2154429034
zuigen,0.2154376209
social,0.2143927824
blijkt,0.2142549566
angen,0.213928014
handelen,0.213549694
wapens,0.2123763599
ambtenaren,0.2117725915
beschermen,0.2115738094
ja,0.2113919545
rijke,0.2110424545
bekend,0.210529366
gerust,0.2097579855
uch,0.209282391
tã©,0.2092198879
das,0.2089960366
democ,0.2088952139
veilig,0.2080296711
respect,0.2076006037
gesleept,0.2073139995
meningsuiting,0.2071345651
jongste,0.2067914965
terreur,0.2061226552
schen,0.2060949057
zetels,0.2060249709
gek,0.2057380948
ã¡ã¡,0.2054782957
ega,0.2054593526
fly,0.2046536617
pracht,0.2041786164
zichten,0.2041754872
ieel,0.204028608
krij,0.2030063292
navo,0.2029351869
oerden,0.2028052658
zichtig,0.2026529759
begeeft,0.2025266439
kre,0.2024919565
kogel,0.2022873759
ill,0.2022795066
sneller,0.2019030575
procent,0.2014778256
sende,0.2013654709
praktisch,0.2008354962
ieuwd,0.2005414516
waarde,0.2004847564
geworden,0.2003394517
puntjes,0.2003062367
voer,0.2002019435
ante,0.2001001341
groei,0.1999447271
aanbieding,0.199563995
andy,0.1983773466
ruikt,0.1977019763
ichte,0.1976363212
kracht,0.1975756465
cle,0.1974113639
regering,0.1972821116
relig,0.1971839517
romantisch,0.1970430017
":""",0.1968636289
gul,0.1968430579
moestuin,0.1967401206
monstr,0.1965692788
kweken,0.1965264231
gebeurd,0.1961757904
stoere,0.1961079985
effectieve,0.1960739791
geduldig,0.1958635896
toffe,0.1954188446
achterin,0.1952987467
evolutie,0.1951634586
form,0.1949440509
belgiã«,0.1947190072
auw,0.1944211824
beurt,0.1942181978
soc,0.1940011932
gelooft,0.1936947443
ondernemen,0.1935459822
krediet,0.1924553605
toch,0.1918503445
verplicht,0.1918321974
lui,0.191727072
elijk,0.1914324914
windkracht,0.1912075877
stuk,0.1911835602
oer,0.1911716845
zogenaamde,0.1911513507
moslim,0.1908152228
cht,0.1895530603
beter,0.1894578192
esome,0.1892145711
mc,0.1889521984
bestuurder,0.1887587337
dating,0.1887077838
helemaal,0.1883734325
kurk,0.188187927
bonds,0.1881281435
"""",0.1878751208
gezellig,0.1877566997
jongens,0.1876804746
""",",0.1874243201
verl,0.1872272023
vieze,0.1868025661
investeren,0.186636582
angst,0.1865071463
marathon,0.1865062984
tenminste,0.1862724863
irritant,0.1860307173
nader,0.1859012842
ervaringen,0.1857875884
makkelijker,0.1853575744
netwerk,0.185356076
shit,0.185076413
gigantisch,0.1845970303
hã©,0.1845380162
lichter,0.1844459176
oei,0.1838749135
toevoeging,0.1832732558
zooi,0.1831748225
iers,0.1828114719
rechten,0.1823235918
ility,0.1816021279
bloed,0.1813626085
...,0.1806917137
transitie,0.1805402786
supp,0.1800540868
hoger,0.1799202859
zorgeloos,0.1797691435
voorkomt,0.1797555089
statistiek,0.1797049642
rechts,0.1796111101
hand,0.1794049429
west,0.1792278637
orm,0.1792129716
alers,0.1781172454
stijl,0.1775544966
opvoeding,0.1774950139
vernieuwend,0.1773123592
begrip,0.1771620484
dertiende,0.1771570295
geleerd,0.1771083737
mantelzorger,0.1770202368
verlenen,0.1769902408
sleutel,0.176720125
slacht,0.1766535938
dynamische,0.1766251922
zeer,0.1763795914
hallo,0.1754009745
veranderd,0.1753550551
room,0.1752059907
heuvel,0.1751377434
lichaams,0.1748941839
gebruikelijk,0.1742732674
bom,0.1742389424
cover,0.1733328672
duidelijk,0.1730407584
itaal,0.1726143509
voordeel,0.172549753
stroop,0.1725320071
pleet,0.1722728759
leveren,0.1721297074
sneeuw,0.1720031275
belangrijk,0.1715803338
uitvoerig,0.1715630293
schitterend,0.1713493504
slavernij,0.1713189036
beseft,0.1712832749
proef,0.1712321851
cke,0.1710335314
uitvoering,0.1709782183
ã©n,0.1706865613
aliteit,0.1702835225
oze,0.170033964
utt,0.16998817
gewaardeerd,0.1697181985
interessant,0.1697105881
kerstvakantie,0.1694634408
sterke,0.1694138097
lachen,0.1693131607
ondernemers,0.1690027239
machin,0.1684313118
istisch,0.1680694719
eerlijk,0.1680449016
zoveel,0.168012438
emmen,0.1673113629
concurrerende,0.166918233
stations,0.1669065613
etters,0.1666874737
gemeenten,0.1666530819
klantgericht,0.1666287631
reekt,0.1662062667
clown,0.166103676
zonde,0.1660123621
inet,0.1656548956
heid,0.1654061307
creã«ren,0.1653478589
leukste,0.1649673389
beste,0.1647505624
!',0.1646043807
ros,0.1645987816
opzicht,0.1642882824
schuld,0.1640973448
ierig,0.164058134
depressief,0.1640164256
schooljaar,0.1638767403
zant,0.1636128053
pie,0.1631422471
gericht,0.1622818625
oep,0.1622457297
economisch,0.1621716022
weder,0.1617864668
jeugdhulp,0.16172041
voelt,0.1615895819
spect,0.1613901413
ministers,0.1612594426
economie,0.1609761827
dialoog,0.160729304
intussen,0.1603509976
ijns,0.160237473
able,0.160175239
leut,0.160132885
langzamerhand,0.1597445309
lezer,0.1596426219
helden,0.159229209
nou,0.1590732916
drama,0.1587484255
remmen,0.1585823894
kreeg,0.1579436089
.,0.1578836317
baas,0.1577732116
ã¨l,0.1567343622
zeuren,0.1565996371
dankzij,0.156450741
aardige,0.1564164266
naã¯ef,0.1557805091
pret,0.1554204607
vergoedt,0.1553890705
ontroerend,0.155088231
vak,0.1549689397
timing,0.1540670544
ondanks,0.1535349167
ight,0.1533616975
verkeers,0.1530136508
end,0.1529921663
cohol,0.1522739679
stro,0.1516796104
laptops,0.1516474094
soort,0.1513206843
doorgaat,0.151273489
zijde,0.1508863829
correctie,0.1505917758
kijkers,0.1504952163
begrijpen,0.1500961185
wereldkampioen,0.1491284668
vouw,0.1488232762
enig,0.1487314116
marokko,0.1484827856
spannender,0.148329258
eeee,0.1482638989
miljarden,0.1482459903
",,",0.1481643431
intelligente,0.1480309814
pende,0.147778675
opneemt,0.1476481428
westerse,0.1476389766
rennen,0.1472214907
compliment,0.1471934724
zingen,0.146957632
moss,0.1467989087
vit,0.1466282167
stilte,0.1465245895
rommel,0.1463623941
aaie,0.1462433785
belangrijker,0.1459407136
oefen,0.1456494182
oofer,0.1455968767
cons,0.1453170945
investeringen,0.1450370699
ubsid,0.1448809952
klantenservice,0.1446087349
utch,0.1445651179
werkloosheid,0.1444617696
betes,0.1443740707
verontwaardiging,0.1442240775
hield,0.1441243887
verpleeg,0.1437992322
ãīã©n,0.1436267793
geh,0.1435442666
meid,0.1433448698
wingen,0.1433200538
uck,0.1431502486
derde,0.1430217142
iefde,0.1425667131
gezondheid,0.1424668655
brengen,0.1421215711
defensie,0.14211747
marketing,0.1421156091
iseerd,0.1419872642
cliã«nt,0.1419403106
ucht,0.1415317673
pubers,0.1413652152
serieuze,0.1410632813
opgroeien,0.140832454
letters,0.1407062598
vorm,0.1406157449
soft,0.1405193955
:#,0.1405042112
groot,0.1404487441
ees,0.1400649638
ute,0.1398574247
cool,0.1395985838
danken,0.1395721287
stads,0.1395670548
hits,0.1393308491
dat,0.1393155694
plus,0.139117226
ey,0.13907858
nood,0.1388235061
abele,0.1387214363
vermoedelijke,0.1385754347
waard,0.1383156484
oo,0.1381187805
opeens,0.1377264442
inkt,0.1375840306
medicijnen,0.13742055
expert,0.1374141276
zig,0.1374111631
nederl,0.1373766661
ape,0.1373742206
gekl,0.1371962726
ocide,0.1369687114
diplomatieke,0.1367396712
luid,0.1364725232
bah,0.1363259908
figuur,0.1362128556
uitzicht,0.1361987926
lijk,0.1353765698
kritisch,0.1349119544
kopp,0.1348974691
rijdt,0.134731083
tijdelijke,0.134298414
criminelen,0.1342753619
kwartier,0.1341941557
informatievoorziening,0.1341690868
kraak,0.1337494701
opgepakt,0.1336476207
azijn,0.1333567202
straffe,0.1331610382
vooruit,0.1323197325
bewijslast,0.1318005174
rekker,0.1312932521
god,0.1312267023
loopt,0.1308650148
feit,0.1308120242
aanbieden,0.1305449996
elend,0.1304959264
ingericht,0.130330205
politiek,0.130145795
dood,0.1301322584
gaat,0.1300639688
aanvoerder,0.1299134754
noor,0.1298889965
oekraã¯ne,0.1298445808
femin,0.129685998
gedraaid,0.1295414174
gegeven,0.1294809239
bedankt,0.1293636437
luisteren,0.1291494846
volwassenen,0.128941685
storm,0.1288510317
perspectief,0.1285285056
winsten,0.1280472428
stub,0.1279960177
money,0.127811458
verdiend,0.1277658809
zorgen,0.1273438214
"!""",0.1271349173
moe,0.1267588904
klinkt,0.1267176759
warm,0.1262997783
verzekerings,0.1259316206
valuatie,0.125928238
ager,0.1256388575
gewerkt,0.1256365821
politieke,0.1250041385
terugkrij,0.1249917448
mannetje,0.1249281466
russen,0.1248717858
eemt,0.1248635203
nis,0.1247842021
ctors,0.1245824397
kings,0.1245221719
ijd,0.1244812457
beveiligen,0.124444589
aarde,0.1244156573
ieerde,0.1243828908
isten,0.1243011667
alles,0.1241728161
ran,0.1241320512
passie,0.1241138279
",-",0.1241036374
ox,0.1240458934
achtig,0.1239516998
prijs,0.1239265744
bez,0.1237425121
accent,0.123544991
bele,0.1233561637
tandarts,0.1233335146
huurders,0.1232085451
amerika,0.1231048313
spontaan,0.12300342
uitstraling,0.1227213889
gepl,0.1225076318
matt,0.1222829719
zom,0.1219546393
carnaval,0.1218982711
ervoor,0.1218604693
gever,0.1216737658
ulde,0.12164408
job,0.1216250879
tactiek,0.1214699671
ach,0.1212014155
geschrokken,0.121181638
isj,0.1211407557
nagedacht,0.1207824573
beginnen,0.1206662384
boet,0.1203566715
sar,0.1203273907
scheur,0.1202951223
utte,0.1201512116
genereert,0.1201419439
voorbereid,0.1200669333
belangrijke,0.1199342895
rijder,0.1196608213
rassen,0.1195955053
ote,0.119315278
verspreiden,0.119114764
oogpunt,0.1189717278
draait,0.118933512
smaak,0.118919412
cbs,0.1187656671
realistisch,0.1186880767
mes,0.1186622754
pass,0.1186133907
leert,0.1185899451
ash,0.1184804812
iov,0.1184721291
gehoor,0.1184611768
gezicht,0.1182405677
itaire,0.1182300804
gal,0.1178746916
okkel,0.1178434268
tja,0.1178276917
innovatie,0.1177897561
bra,0.1176671083
bedanken,0.1173681268
ontslagen,0.1171468943
inkomsten,0.1170495823
ringen,0.1170495674
geschiedenis,0.1170112259
stelt,0.1169243548
obie,0.1167834271
uitgerekend,0.1167565882
losse,0.1164881466
prachtig,0.1162045517
regelt,0.1160905659
sterven,0.1159016645
ida,0.1158634499
lente,0.1158106151
ijzer,0.1157652847
standen,0.1156323552
zaam,0.1156284958
hou,0.1155611791
bestaat,0.1154268126
uitkijken,0.1153397262
ance,0.1151730021
sancties,0.1151726842
ierde,0.1149368351
ikke,0.1148710488
participatie,0.1148679063
begint,0.1147762809
atis,0.114582926
ketel,0.1144870222
herkenbaar,0.1143125966
boren,0.1141950336
tekent,0.1141493317
kerel,0.1138926953
vvd,0.1138767147
houd,0.1136058659
verlen,0.1136010736
isser,0.1135569813
hoogst,0.1135501564
wauw,0.1135277935
oler,0.1134679541
grap,0.1134409757
afgelopen,0.113427704
omp,0.112990276
mandaat,0.1128925905
omgevings,0.1127113402
elektronisch,0.1124398857
beveiligd,0.1121754944
laagste,0.1121332422
eng,0.1120011397
cher,0.1118502163
stan,0.1116439626
ã©ã©l,0.1111553311
kleinkinderen,0.1111248583
match,0.1109261087
wenst,0.1106711947
merk,0.110652115
boy,0.1106197716
omas,0.1106104046
itie,0.1104753797
issa,0.1103824732
emotioneel,0.1101088822
instrument,0.1100915726
mens,0.1098578105
corru,0.1098212209
gewoonweg,0.1097988598
zings,0.1097918972
hek,0.1093811291
bouwen,0.1092758771
mooi,0.1092249585
islam,0.1088519916
braak,0.1085307375
cda,0.1081796438
boys,0.1080718711
standaard,0.1080274417
vluchteling,0.1080044229
neerleggen,0.1078889593
obe,0.1078143343
aler,0.1072955206
liefde,0.1072904803
serie,0.1070424273
umenten,0.1070137471
vrezen,0.1069295555
bot,0.106860958
ouwe,0.1063958461
ongewenst,0.1063554063
fonie,0.1061246891
cteurs,0.1060619011
omme,0.1059960077
bestuurders,0.1058736033
cy,0.1055601296
koude,0.1053957045
gezelligheid,0.1052910894
wordt,0.1052782496
moesten,0.105269642
hã©ã©l,0.105126557
hoeveel,0.1049881422
*,0.104829484
opnieuw,0.1048142073
brood,0.1047913077
groepjes,0.1046660994
nieren,0.1045879871
vervoer,0.1045783386
sams,0.1045097783
ieu,0.1042998806
onzeker,0.1041307375
schand,0.1039400399
hel,0.1037665112
gro,0.1037379444
duidelijke,0.1036425753
sver,0.1034318425
gevoel,0.1032824613
blue,0.1031580602
komen,0.1031286606
zacht,0.1031217948
scoren,0.1028713952
verstaan,0.1028521409
consequent,0.1027443334
criminele,0.102639325
advocaat,0.1024453205
cred,0.1024312004
reportage,0.1023476087
creatieve,0.102171272
manager,0.1021165829
cteur,0.1020889673
ienst,0.1020621659
reclame,0.1019946244
overn,0.1016973332
blaas,0.101598768
sowieso,0.1014424518
zeker,0.1013284711
campagne,0.1012657212
opkomen,0.1012144946
steren,0.1010999009
puntje,0.1010241061
storten,0.1008735842
bedrijven,0.1006784096
vliegtuig,0.1006746553
gesch,0.1006551248
trainers,0.1000835821
zn,0.09991301623
belde,0.0997736603
zak,0.09965739673
mentale,0.09952974413
belach,0.09950590134
netto,0.09938488342
pt,0.09934427751
verdacht,0.0993073993
vertellen,0.09923374232
fam,0.09905140847
ie,0.09876475522
schijn,0.09874051996
journalistieke,0.09864705056
elende,0.09864577407
besp,0.09857989351
enthousiast,0.09844322999
geloofwaardig,0.09816888906
abel,0.09807199826
legaal,0.09793893993
ontworpen,0.09792233258
amsterdamse,0.09788960963
drop,0.09775270522
algemene,0.09766175598
die,0.09760333332
